"id","sequence","description","name","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id"
"VAT_S_IN_BD_10","1","","VAT 10%","10%","10","percent","sale","tax_group_bd_10","100","base","invoice","+S_10 Base",""
"","","","","","","","","","100","tax","invoice","+S_10 Tax","l10n_bd_200904"
"","","","","","","","","","100","base","refund","-S_10 Base",""
"","","","","","","","","","100","tax","refund","-S_10 Tax","l10n_bd_200904"
"VAT_P_IN_BD_10","2","","VAT 10%","10%","10","percent","purchase","tax_group_bd_10","100","base","invoice","+P_10 Base",""
"","","","","","","","","","100","tax","invoice","+P_10 Tax","l10n_bd_200903"
"","","","","","","","","","100","base","refund","-P_10 Base",""
"","","","","","","","","","100","tax","refund","-P_10 Tax","l10n_bd_200903"
"VAT_S_IN_BD_15","3","","VAT at 15%","15%","15","percent","sale","tax_group_bd_15","100","base","invoice","+S_15 Base",""
"","","","","","","","","","100","tax","invoice","+S_15 Tax","l10n_bd_200904"
"","","","","","","","","","100","base","refund","-S_15 Base",""
"","","","","","","","","","100","tax","refund","-S_15 Tax","l10n_bd_200904"
"VAT_P_IN_BD_15","4","","VAT at 15%","15%","15","percent","purchase","tax_group_bd_15","100","base","invoice","+P_15 Base",""
"","","","","","","","","","100","tax","invoice","+P_15 Tax","l10n_bd_200903"
"","","","","","","","","","100","base","refund","-P_15 Base",""
"","","","","","","","","","100","tax","refund","-P_15 Tax","l10n_bd_200903"
"VAT_S_IN_BD_0","5","","VAT 0%","0%","0","percent","sale","tax_group_bd_0","100","base","invoice","+S_0 Base",""
"","","","","","","","","","100","tax","invoice","","l10n_bd_200904"
"","","","","","","","","","100","base","refund","-S_0 Base",""
"","","","","","","","","","100","tax","refund","","l10n_bd_200904"
"VAT_P_IN_BD_0","6","","VAT 0%","0%","0","percent","purchase","tax_group_bd_0","100","base","invoice","+P_0 Base",""
"","","","","","","","","","100","tax","invoice","","l10n_bd_200903"
"","","","","","","","","","100","base","refund","-P_0 Base",""
"","","","","","","","","","100","tax","refund","","l10n_bd_200903"
"VAT_S_IN_BD_2","7","","VAT 2%","2%","2","percent","sale","tax_group_bd_2","100","base","invoice","+S_2 Base",""
"","","","","","","","","","100","tax","invoice","+S_2 Tax","l10n_bd_200904"
"","","","","","","","","","100","base","refund","-S_2 Base",""
"","","","","","","","","","100","tax","refund","-S_2 Tax","l10n_bd_200904"
"VAT_P_IN_BD_2","8","","VAT 2%","2%","2","percent","purchase","tax_group_bd_2","100","base","invoice","+P_2 Base",""
"","","","","","","","","","100","tax","invoice","+P_2 Tax","l10n_bd_200903"
"","","","","","","","","","100","base","refund","-P_2 Base",""
"","","","","","","","","","100","tax","refund","-P_2 Tax","l10n_bd_200903"
"VAT_S_IN_BD_45","9","","VAT 4.5%","4.50%","4.5","percent","sale","tax_group_bd_45","100","base","invoice","+S_45 Base",""
"","","","","","","","","","100","tax","invoice","+S_45 Tax","l10n_bd_200904"
"","","","","","","","","","100","base","refund","-S_45 Base",""
"","","","","","","","","","100","tax","refund","-S_45 Tax","l10n_bd_200904"
"VAT_P_IN_BD_45","10","","VAT 4.5%","4.50%","4.5","percent","purchase","tax_group_bd_45","100","base","invoice","+P_45 Base",""
"","","","","","","","","","100","tax","invoice","+P_45 Tax","l10n_bd_200903"
"","","","","","","","","","100","base","refund","-P_45 Base",""
"","","","","","","","","","100","tax","refund","-P_45 Tax","l10n_bd_200903"
"VAT_S_IN_BD_75","11","","VAT at 7.5%","7.50%","7.5","percent","sale","tax_group_bd_75","100","base","invoice","+S_75 Base",""
"","","","","","","","","","100","tax","invoice","+S_75 Tax","l10n_bd_200904"
"","","","","","","","","","100","base","refund","-S_75 Base",""
"","","","","","","","","","100","tax","refund","-S_75 Tax","l10n_bd_200904"
"VAT_P_IN_BD_75","12","","VAT at 7.5%","7.50%","7.5","percent","purchase","tax_group_bd_75","100","base","invoice","+P_75 Base",""
"","","","","","","","","","100","tax","invoice","+P_75 Tax","l10n_bd_200903"
"","","","","","","","","","100","base","refund","-P_75 Base",""
"","","","","","","","","","100","tax","refund","-P_75 Tax","l10n_bd_200903"
"VAT_S_IN_BD_5","13","","VAT 5%","5%","5","percent","sale","tax_group_bd_5","100","base","invoice","+S_5 Base",""
"","","","","","","","","","100","tax","invoice","+S_5 Tax","l10n_bd_200904"
"","","","","","","","","","100","base","refund","-S_5 Base",""
"","","","","","","","","","100","tax","refund","-S_5 Tax","l10n_bd_200904"
"VAT_P_IN_BD_5","14","","VAT 5%","5%","5","percent","purchase","tax_group_bd_5","100","base","invoice","+P_5 Base",""
"","","","","","","","","","100","tax","invoice","+P_5 Tax","l10n_bd_200903"
"","","","","","","","","","100","base","refund","-P_5 Base",""
"","","","","","","","","","100","tax","refund","-P_5 Tax","l10n_bd_200903"
