"code","description","name","code_type","order","tax_rate","id"
"AM","Ampoule","Ampoule","Packing Unit","1","0.0","l10n_ke_edi_oscu.code_17_AM"
"BA","Barrel","Barrel","Packing Unit","2","0.0","l10n_ke_edi_oscu.code_17_BA"
"BC","Bottlecrate","Bottlecrate","Packing Unit","3","0.0","l10n_ke_edi_oscu.code_17_BC"
"BE","Bundle","Bundle","Packing Unit","4","0.0","l10n_ke_edi_oscu.code_17_BE"
"BF","Balloon, non-protected","Balloon, non-protected","Packing Unit","5","0.0","l10n_ke_edi_oscu.code_17_BF"
"BG","Bag","Bag","Packing Unit","6","0.0","l10n_ke_edi_oscu.code_17_BG"
"BJ","Bucket","Bucket","Packing Unit","7","0.0","l10n_ke_edi_oscu.code_17_BJ"
"BK","Basket","Basket","Packing Unit","8","0.0","l10n_ke_edi_oscu.code_17_BK"
"BL","Bale","Bale","Packing Unit","9","0.0","l10n_ke_edi_oscu.code_17_BL"
"BQ","Bottle, protected cylindrical","Bottle, protected cylindrical","Packing Unit","10","0.0","l10n_ke_edi_oscu.code_17_BQ"
"BR","Bar","Bar","Packing Unit","11","0.0","l10n_ke_edi_oscu.code_17_BR"
"BV","Bottle, bulbous","Bottle, bulbous","Packing Unit","12","0.0","l10n_ke_edi_oscu.code_17_BV"
"BZ","Bag","Bag","Packing Unit","13","0.0","l10n_ke_edi_oscu.code_17_BZ"
"CA","Can","Can","Packing Unit","14","0.0","l10n_ke_edi_oscu.code_17_CA"
"CH","Chest","Chest","Packing Unit","15","0.0","l10n_ke_edi_oscu.code_17_CH"
"CJ","Coffin","Coffin","Packing Unit","16","0.0","l10n_ke_edi_oscu.code_17_CJ"
"CL","Coil","Coil","Packing Unit","17","0.0","l10n_ke_edi_oscu.code_17_CL"
"CR","Wooden Box, Wooden Case","Wooden Box, Wooden Case","Packing Unit","18","0.0","l10n_ke_edi_oscu.code_17_CR"
"CS","Cassette","Cassette","Packing Unit","19","0.0","l10n_ke_edi_oscu.code_17_CS"
"CT","Carton","Carton","Packing Unit","20","0.0","l10n_ke_edi_oscu.code_17_CT"
"CTN","Container","Container","Packing Unit","21","0.0","l10n_ke_edi_oscu.code_17_CTN"
"CY","Cylinder","Cylinder","Packing Unit","22","0.0","l10n_ke_edi_oscu.code_17_CY"
"DR","Drum","Drum","Packing Unit","23","0.0","l10n_ke_edi_oscu.code_17_DR"
"GT","Extra Countable Item","Extra Countable Item","Packing Unit","24","0.0","l10n_ke_edi_oscu.code_17_GT"
"HH","Hand Baggage","Hand Baggage","Packing Unit","25","0.0","l10n_ke_edi_oscu.code_17_HH"
"IZ","Ingots","Ingots","Packing Unit","26","0.0","l10n_ke_edi_oscu.code_17_IZ"
"JR","Jar","Jar","Packing Unit","27","0.0","l10n_ke_edi_oscu.code_17_JR"
"JU","Jug","Jug","Packing Unit","28","0.0","l10n_ke_edi_oscu.code_17_JU"
"JY","Jerry CAN Cylindrical","Jerry CAN Cylindrical","Packing Unit","29","0.0","l10n_ke_edi_oscu.code_17_JY"
"KZ","Canester","Canester","Packing Unit","30","0.0","l10n_ke_edi_oscu.code_17_KZ"
"LZ","Logs, in bundle/bunch/truss","Logs, in bundle/bunch/truss","Packing Unit","31","0.0","l10n_ke_edi_oscu.code_17_LZ"
"NT","Net","Net","Packing Unit","32","0.0","l10n_ke_edi_oscu.code_17_NT"
