"id","name","code","account_type","reconcile","name@fr"
"syscebnl_101","Non-consumable endowment with no right of reversal",101,"equity","False","Dotation non consomptible sans droit de reprise"
"syscebnl_1011","in cash",1011,"equity","False","en numéraire"
"syscebnl_1015","in kind",1015,"equity","False","en nature"
"syscebnl_102","Non-consumable endowment with right of reversal",102,"equity","False","Dotation non consomptible avec droit de reprise"
"syscebnl_1021","in cash",1021,"equity","False","en numéraire"
"syscebnl_1025","in kind",1025,"equity","False","en nature"
"syscebnl_103","Entrance fee",103,"equity","False","Droit d'entrée"
"syscebnl_1041","Expendable endowment",1041,"equity","False","Dotation consomptible"
"syscebnl_1049","Consumptive endowment",1049,"equity","False","Dotation consomptile"
"syscebnl_106","Revaluation differences",106,"equity","False","Écarts de réévaluation"
"syscebnl_1061","Revaluation differences on assets without trade-in rights",1061,"equity","False","Écarts de réévaluation sur des biens sans droit de reprise"
"syscebnl_10611","Revaluation differences on assets without trade-in rights - property, plant and equipment",10611,"equity","False","Écarts de réévaluation sur des biens sans droit de reprise-immobilisations corporelles"
"syscebnl_10612","Revaluation differences on assets without trade-in rights - financial fixed assets",10612,"equity","False","Écarts de réévaluation sur des biens sans droit de reprise-immobilisations financières"
"syscebnl_1062","Revaluation differences on assets with right of repossession",1062,"equity","False","Écarts de réévaluation sur des biens avec droit de reprise"
"syscebnl_10621","Revaluation surplus on assets with trade-in rights - property, plant and equipment",10621,"equity","False","Écarts de réévaluation sur des biens avec droit de reprise-immobilisations corporelles"
"syscebnl_10622","Revaluation differences on assets with trade-in rights - financial fixed assets",10622,"equity","False","Écarts de réévaluation sur des biens avec droit de reprise-immobilisations finanicères"
"syscebnl_112","Statutory or contractual reserves",112,"equity","False","Réserves statutaires ou contractuelles"
"syscebnl_118","Other reserves",118,"equity","False","Autres réserves"
"syscebnl_121","Retained earnings",121,"equity","False","Report à nouveau des excédents"
"syscebnl_128","Net income pending appropriation",128,"equity_unaffected","False","Résultat net en instance d'affectation"
"syscebnl_129","Retained earnings carried forward",129,"equity","False","Report à nouveau des déficits"
"syscebnl_131","Surplus for the year",131,"equity","False","Excédent de l'exercice"
"syscebnl_139","Deficit for the year",139,"equity","False","Déficit de l'exercice"
"syscebnl_141","Equipment grants",141,"equity","False","Subventions d'équipment"
"syscebnl_1411","State",1411,"equity","False","État"
"syscebnl_1412","Regions",1412,"equity","False","Régions"
"syscebnl_1413","Departments",1413,"equity","False","Départements"
"syscebnl_1414","Decentralized local authorities",1414,"equity","False","Communes et collectivités publiques décentralisés"
"syscebnl_1415","Public or mixed entities or balance of operations for development projects",1415,"equity","False","Entités publiques ou mixtes ou solde des opérations de l'exercice pour les projets de développement"
"syscebnl_1416","Private entities and organizations",1416,"equity","False","Entités et organismes privés"
"syscebnl_1417","International organizations",1417,"equity","False","Organismes internationaux"
"syscebnl_1418","Other reserves",1418,"equity","False","Autres"
"syscebnl_148","Other investment grants",148,"equity","False","Autres subventions d'investissement"
"syscebnl_154","Special revaluation provisions",154,"equity","False","Provisions spéciales de réevaluation"
"syscebnl_158","Other regulated provisions and similar funds",158,"equity","False","Autres provisions réglementées et fonds assimilés"
"syscebnl_161","Development project fund - accountable cash advances",161,"equity","False","Fonds projet de développement - avances de fonds à justifier"
"syscebnl_162","Funds earmarked for development project investments – donors",162,"equity","False","Fonds affectés aus investissements du projet de développement - bailleurs de fonds"
"syscebnl_163","Funds allocated to development project investments - the State",163,"equity","False","Fonds affectés aux investissements du projet de développement - l'État"
"syscebnl_164","Funds allocated to investments by other similar financing organizations",164,"equity","False","Fonds affectés aux investissements des autres organismes de financement assimilés"
"syscebnl_165","Funds earmarked for a specific project",165,"equity","False","Fonds affectés à un projet spécifique"
"syscebnl_167","Funds from gifts and bequests of fixed assets",167,"equity","False","Fonds provenant de dons et legs d'immobilisations"
"syscebnl_1671","allocated",1671,"equity","False","affectés"
"syscebnl_1672","unallocated",1672,"equity","False","non affectés"
"syscebnl_1679","Donor commitments",1679,"equity","False","Engagements auprès donateur"
"syscebnl_168","Other restricted funds",168,"equity","False","Autres fonds affectés"
"syscebnl_169","Restricted funds receivable",169,"equity","False","Fonds affectés à recevoir"
"syscebnl_171","Temporary donation of usufruct",171,"equity","False","Donation temporaire d'usufruit"
"syscebnl_172","Donations and bequests not yet received from fixed assets held for sale",172,"equity","False","Donations et legs non encore reçus d'immobilisations destinées à la vente"
"syscebnl_178","Other deferred funds",178,"equity","False","Autres fonds reportés"
"syscebnl_181","Bond issues",181,"liability_non_current","False","Emprunts obligataires"
"syscebnl_182","Borrowings from credit institutions",182,"liability_non_current","False","Emprunts et dettes auprès des ètablissements de crédit"
"syscebnl_183","Advances received from the State",183,"liability_non_current","False","Avances reçues de l'État"
"syscebnl_185","Deposits and guarantees received",185,"liability_non_current","False","Dépôts et cautionnements reçus"
"syscebnl_1851","Deposits",1851,"liability_non_current","False","Dépôts"
"syscebnl_1852","Surety bonds",1852,"liability_non_current","False","Cautionnements"
"syscebnl_186","Accrued interest",186,"liability_non_current","False","Intérêts courus"
"syscebnl_1861","on bond issues",1861,"liability_non_current","False","sur emprunts obligataires"
"syscebnl_1862","on borrowings from credit institutions",1862,"liability_non_current","False","sur emprunts et dettes auprès des établissements de crédit"
"syscebnl_1863","on advances received from the State",1863,"liability_non_current","False","sur avances reçues de l'État"
"syscebnl_1865","on deposits and guarantees received",1865,"liability_non_current","False","sur dépôts et cautionnements reçus"
"syscebnl_1868","on other loans and debts",1868,"liability_non_current","False","sur autres emprunts et dettes"
"syscebnl_187","Capital lease liabilities",187,"liability_non_current","False","Dettes de location-acquisition"
"syscebnl_1871","Capital lease liabilities / property leasing",1871,"liability_non_current","False","Dettes de location-acquisition/ crédit-bail immobilier"
"syscebnl_1872","Capital lease liabilities / equipment leasing",1872,"liability_non_current","False","Dettes de location-acquisition/ crédit-bail mobilier"
"syscebnl_1873","Capital lease liabilities / sales-type leases",1873,"liability_non_current","False","Dettes de location-acquisition /location-vente"
"syscebnl_1876","Accrued interest",1876,"liability_non_current","False","Intérêts courus"
"syscebnl_188","Other borrowings and debts",188,"liability_non_current","False","Autres emprunts et dettes"
"syscebnl_191","Provisions for litigation",191,"liability_non_current","False","Provisions pour litiges"
"syscebnl_192","Provisions for charges on gifts and bequests",192,"liability_non_current","False","Provisions pour charges sur donations et legs"
"syscebnl_194","Provisions for exchange losses",194,"liability_non_current","False","Provisions pour pertes de change"
"syscebnl_196","Provisions for pensions and similar obligations",196,"liability_non_current","False","Provisions pour pensions et obligations similaires"
"syscebnl_198","Other provisions for liabilities and charges",198,"liability_non_current","False","Autres provisions pour risques et charges"
"syscebnl_1981","Provisions for fines and penalties",1981,"liability_non_current","False","Provisions pour amendes et pénalités"
"syscebnl_1984","Provisions for dismantling and restoration",1984,"liability_non_current","False","Provisions pour démantèlement et remise en état"
"syscebnl_1988","Provisions for contingencies and charges",1988,"liability_non_current","False","Provisions pour divers risques et charges"
"syscebnl_201","Intangible assets",201,"asset_non_current","False","Immobilisations incorporelles"
"syscebnl_2011","Temporary usufruct",2011,"asset_non_current","False","Usufruit temporaire"
"syscebnl_2012","Patents, licenses, concessions and similar rights",2012,"asset_non_current","False","Brevets, licences, concessions et droits similaires"
"syscebnl_2013","Software and websites",2013,"asset_non_current","False","Logiciels et sites internet"
"syscebnl_2014","Brands",2014,"asset_non_current","False","Marques"
"syscebnl_2017","Other ",2017,"asset_non_current","False","Autres"
"syscebnl_202","Land",202,"asset_non_current","False","Terrains"
"syscebnl_203","Buildings",203,"asset_non_current","False","Bâtiments"
"syscebnl_204","Equipment",204,"asset_non_current","False","Matériels"
"syscebnl_205","Shareholdings",205,"asset_non_current","False","Titre de participations"
"syscebnl_212","Patents, licenses, concessions and similar rights",212,"asset_non_current","False","Brevets, licences, concessions et droits similaires"
"syscebnl_2121","Patents, licenses, concessions and similar rights",2121,"asset_non_current","False","Brevets"
"syscebnl_2122","Licenses",2122,"asset_non_current","False","Licences"
"syscebnl_2123","Public service concessions",2123,"asset_non_current","False","Concessions de service public"
"syscebnl_2128","Other concessions and similar rights",2128,"asset_non_current","False","Autres concessions et droits similaires"
"syscebnl_213","Software and websites",213,"asset_non_current","False","Logiciels et sites internet"
"syscebnl_2131","Software",2131,"asset_non_current","False","Logiciels"
"syscebnl_2132","Websites",2132,"asset_non_current","False","Sites internet"
"syscebnl_214","Brands",214,"asset_non_current","False","Marques"
"syscebnl_218","Other intangible assets and rights",218,"asset_non_current","False","Autres droits et valeurs incorporels"
