"id","code","name","account_type","reconcile"
"tz_102","102","Cash Equivalents","asset_cash","False"
"tz_104","104","Internal Transfers of Funds","asset_current","False"
"tz_106","106","Other current assets","asset_current","False"
"tz_107","107","Tax paid","asset_current","False"
"tz_108","108","Tax receivable","asset_current","False"
"tz_110","110","Property, Plant And Equipment","asset_fixed","False"
"tz_111","111","Land And Land Improvements","asset_fixed","False"
"tz_112","112","Buildings, Structures And Improvements","asset_fixed","False"
"tz_113","113","Machinery And Equipment","asset_fixed","False"
"tz_114","114","Furniture And Fixtures","asset_fixed","False"
"tz_115","115","Right Of Use Assets (Classified As PP&E)","asset_fixed","False"
"tz_116","116","Additional Property, Plant And Equipment","asset_fixed","False"
"tz_117","117","Construction In Progress","asset_non_current","False"
"tz_121","121","Investment Property","asset_non_current","False"
"tz_122","122","Investment Property Under Construction Or Development","asset_non_current","False"
"tz_130","130","Goodwill","asset_non_current","False"
"tz_135","135","Advances for Capital Assets","asset_non_current","False"
"tz_140","140","Intangible Assets (Excluding Goodwill)","asset_non_current","False"
"tz_141","141","Intellectual Property","asset_fixed","False"
"tz_142","142","Computer Software","asset_fixed","False"
"tz_143","143","Trade And Distribution Assets","asset_non_current","False"
"tz_144","144","Contracts And Rights","asset_non_current","False"
"tz_145","145","Right To Use Assets (Classified By Type)","asset_non_current","False"
"tz_146","146","Other Intangible Assets","asset_non_current","False"
"tz_147","147","Acquisition In Progress","asset_non_current","False"
"tz_148","148","Deferred tax assets","asset_non_current","False"
"tz_149","149","Available for sale investments","asset_non_current","False"
"tz_150","150","Financial Assets (Investments)","asset_non_current","False"
"tz_151","151","Non-Derivative Financial Assets","asset_receivable","True"
"tz_152","152","Derivative Financial Assets","asset_receivable","True"
"tz_153","153","Restricted Cash And Financial Assets","asset_cash","False"
"tz_154","154","Additional Financial Assets And Investments","asset_non_current","False"
"tz_155","155","Trade receivables (PoS)","asset_receivable","True"
"tz_156","156","Investments in associate","asset_receivable","True"
"tz_160","160","Agricultural (Biological) Assets","asset_current","False"
"tz_161","161","Bearer Plants","asset_current","False"
"tz_162","162","Animals","asset_current","False"
"tz_163","163","Other Agricultural Assets","asset_current","False"
"tz_170","170","Inventory","asset_current","False"
"tz_171","171","Merchandise","asset_current","False"
"tz_172","172","Raw Material, Parts And Supplies","asset_current","False"
"tz_173","173","Work In Process","asset_current","False"
"tz_174","174","Finished Goods","asset_current","False"
"tz_175","175","Other Inventory","asset_current","False"
"tz_176","176","Income tax assets","asset_current","False"
"tz_180","180","Accruals And Additional Assets","asset_receivable","True"
"tz_181","181","Prepaid Expense","asset_current","False"
"tz_182","182","Accrued Income","asset_current","False"
"tz_183","183","Additional Assets","asset_receivable","True"
"tz_184","184","Investments and financial receivables","asset_receivable","True"
"tz_190","190","Receivables And Contracts","asset_receivable","True"
"tz_191","191","Accounts, Notes And Loans Receivable","asset_receivable","True"
"tz_192","192","Contracts","asset_current","False"
"tz_193","193","Nontrade And Other Receivables","asset_receivable","True"
"tz_210","210","Owners Equity (Attributable To Owners Of Parent)","equity","False"
"tz_211","211","Equity At Par (Issued Capital)","equity","False"
"tz_212","212","Retained Earnings","equity","False"
"tz_213","213","Additional Paid-In Capital","equity","False"
"tz_220","220","Treasury Stock","equity","False"
"tz_221","221","Treasury Stock Common","equity","False"
"tz_222","222","Treasury Stock Preferred","equity","False"
"tz_230","230","Accumulated OCI","equity","False"
"tz_231","231","Exchange Differences On Translation","equity","False"
"tz_232","232","Remeasurements Cash Flow Hedges","equity","False"
"tz_233","233","Remeasurements Available-For-Sale Financial Assets","equity","False"
"tz_234","234","Remeasurement Of Defined Benefit Plans","equity","False"
"tz_235","235","Revaluation Surplus (IFRS Only)","equity","False"
"tz_236","236","Remeasurements Investments In Equity Instruments (IFRS only)","equity","False"
"tz_240","240","Other Equity Items","equity","False"
"tz_241","241","ESOP Related Items","equity","False"
"tz_242","242","Subscribed Stock Receivables","equity","False"
"tz_250","250","Miscellaneous Equity","equity","False"
"tz_260","260","Non-controlling (Minority) Interest","equity","False"
"tz_270","270","Share capital","equity","False"
"tz_307","307","Tax received","liability_current","False"
"tz_308","308","Tax Payable","liability_current","False"
"tz_311","311","Trade Payables","liability_payable","True"
"tz_312","312","Dividends Payable","liability_payable","True"
"tz_313","313","Interest Payable","liability_payable","True"
